Fdg
17.06
15.98
15.08
14
15.08
15.08
15.08
15.08
17.96
21.92
26.06
30.02
30.92
32
33.08
33.08
30.92
28.94
30.02
30.02
30.02
30.02
30.02
28.94
28.94
28.94
28.94
28.94
28.94
26.96
26.06
24.98
26.96
26.96
28.04
24.98
24.08
26.06
26.96
26.96
26.06
26.96
26.96
26.96
26.06
24.98
24.08
23
23
23
21.02
19.94
19.94
19.94
19.04
19.04
19.04
19.94
19.94
21.02
21.02
21.02
21.92
21.02
19.04
19.04
19.04
17.06
15.08
10.94
10.94
6.98
8.96
8.06
8.06
3.92
5
3.92
5
1.94
6.98
12.02
15.98
21.92
23
26.06
24.08
24.98
21.92
19.94
19.04
19.04
19.04
14
14
12.92
12.92
10.04
12.92
10.94
10.94
8.96
8.06
10.04
14
15.98
21.92
26.96
26.96
28.04
28.04
26.96
26.96
26.96
26.96
26.96
26.96
26.06
26.96
26.96
26.06
26.06
26.06
24.98
24.98
24.98
24.98
24.08
24.98
26.06
26.96
28.04
28.04
26.96
26.96
26.96
26.96
28.94
28.94
30.02
30.92
30.92
32
32
33.08
32
32
32
33.08
33.08
33.08
33.08
33.08
33.98
33.08
33.98
33.98
33.08
33.98
33.08
33.08
32
32
30.02
28.04
26.06
26.06
24.98
24.08
23
19.94
19.94
19.04
17.96
17.96
17.96
17.06
19.04
19.94
21.02
21.92
24.98
23
23
21.02
19.04
15.08
14
12.92
15.08
17.06
17.06
17.96
19.04
19.94
21.92
21.92
21.02
21.92
21.92
24.08
24.98
28.04
28.94
30.92
32
30.92
30.92
30.92
30.92
30.02
30.02
30.02
30.02
28.94
28.94
28.94
28.04
30.02
30.02
30.02
30.02
30.02
30.02
28.94
28.94
28.94
30.92
32
30.92
30.02
30.92
30.92
30.92
32
30.92
32
30.92
30.02
30.92
30.02
30.92
30.92
30.92
30.92
28.94
26.96
26.06
24.98
24.08
24.08
24.08
24.08
24.98
24.98
26.06
26.96
26.96
26.96
26.96
26.96
26.06
26.06
26.96
28.04
26.06
26.06
28.04
26.06
26.06
24.98
24.98
26.06
26.96
28.04
28.04
28.94
28.94
30.02
28.94
28.94
28.94
28.94
28.94
28.94
28.94
28.94
28.94
30.02
30.02
28.94
30.02
28.94
28.04
28.04
28.04
28.04
28.04
28.04
28.04
28.04
28.04
28.04
28.04
26.96
24.98
24.98
24.98
24.98
24.08
23
19.94
19.04
15.08
14
12.02
10.94
10.94
10.94
12.92
15.98
26.06
30.02
32
35.06
35.96
35.96
37.04
37.04
35.96
35.06
33.98
33.98
33.98
33.98
33.98
33.98
33.08
33.98
33.98
33.08
33.08
33.08
33.08
33.08
33.08
33.98
33.98
35.06
35.06
33.98
33.98
33.08
33.08
32
32
32
32
32
33.08
30.02
28.04
26.06
21.92
19.94
15.98
14
12.92
15.08
19.04
17.96
17.96
17.96
19.04
17.96
17.96
15.08
10.94
10.04
6.98
5
3.02
1.04
1.94
1.04
-4
-2.92
-5.98
-7.06
-7.06
-7.06
-5.98
-4
3.02
8.96
12.02
12.92
14
14
12.92
10.04
8.06
5
1.94
-0.94
-0.94
-2.02
-2.02
-2.02
-0.94
1.04
6.08
6.98
12.92
15.08
17.06
17.96
19.04
19.94
23
23
24.08
24.98
26.06
26.06
28.04
28.94
28.94
28.94
28.94
28.94
28.04
24.08
21.92
21.02
19.04
17.06
17.96
17.96
17.96
19.94
19.94
19.94
19.94
19.94
19.04
19.04
17.96
17.06
15.98
15.98
15.98
15.98
14
12.92
10.94
10.04
10.04
8.96
8.06
5
3.92
3.02
1.04
3.02
8.06
12.02
12.02
14
17.06
17.06
17.06
12.92
10.94
8.96
6.98
3.92
5
5
1.04
3.02
5
6.98
6.98
14
19.94
21.02
21.92
23
24.08
26.06
26.96
26.96
28.94
30.02
30.02
30.02
28.04
24.98
28.04
24.08
24.08
19.04
19.04
19.94
19.94
21.02
21.02
21.92
21.92
21.92
21.92
21.92
23
24.08
24.98
24.98
24.98
28.04
24.08
23
24.08
24.08
24.08
24.08
24.98
26.06
24.98
23
21.92
21.92
19.94
19.94
19.94
19.94
21.92
23
24.08
26.06
26.06
28.94
30.02
28.04
26.06
24.08
21.92
19.94
17.96
15.08
10.04
8.96
8.06
6.98
5
3.92
1.94
3.02
3.02
3.02
1.94
3.02
5
6.98
8.96
10.04
10.04
10.94
10.94
10.94
10.94
12.02
10.04
8.96
8.06
8.06
6.98
6.98
8.06
8.06
5
1.94
-0.04
-2.02
-2.92
-2.02
1.94
6.98
8.96
12.02
15.08
15.98
14
12.02
8.06
5
1.04
-0.04
-0.94
-2.92
-5.08
-5.98
-7.06
-7.96
-9.04
-9.94
-11.92
-11.92
-11.92
-7.06
-0.04
-0.94
1.94
1.94
3.92
5
5
3.02
1.04
-0.94
-0.94
-4
-9.04
-9.04
-11.02
-11.02
-13
-14.98
-16.06
-16.06
-16.06
-18.04
-18.04
-14.08
-5.08
1.94
5
8.06
10.94
12.02
12.02
10.94
10.04
10.94
10.04
8.06
6.08
3.92
3.02
1.94
3.92
3.92
5
5
5
5
6.08
6.98
10.04
15.08
17.06
19.04
21.02
21.92
21.92
19.94
17.06
14
12.92
6.08
6.08
3.92
6.08
8.96
10.04
10.94
12.02
12.02
12.02
12.02
12.92
14
15.98
19.94
19.94
23
24.98
26.06
26.06
24.08
19.94
17.06
12.92
12.92
12.92
12.02
10.04
8.96
6.98
6.08
6.98
5
3.92
3.02
8.06
10.94
19.94
21.02
28.04
26.96
26.06
24.98
26.06
26.06
26.06
24.98
26.06
26.96
26.06
26.96
26.96
26.96
26.96
26.96
26.96
26.96
26.96
28.04
28.04
28.94
30.02
32
35.06
33.08
30.92
28.04
24.98
24.08
21.92
21.92
21.92
21.92
25.88
29.84
33.44
37.4
41.18
45.14
48.92
48.92
48.02
48.92
