"","UTC_START_TIME","LOCATIONID","USAGE"
"127","2015-08-05 04:00:00.0","18594",11.213
"128","2015-08-06 04:00:00.0","18594",9.259
"129","2015-08-07 04:00:00.0","18594",13.474
"130","2015-08-08 04:00:00.0","18594",18.902
"131","2015-08-09 04:00:00.0","18594",9.614
"132","2015-08-10 04:00:00.0","18594",11.539
"133","2015-08-11 04:00:00.0","18594",10.543
"134","2015-08-12 04:00:00.0","18594",13.928
"135","2015-08-13 04:00:00.0","18594",10.618
"136","2015-08-14 04:00:00.0","18594",10.415
"137","2015-08-15 04:00:00.0","18594",19.008
"138","2015-08-16 04:00:00.0","18594",12.723
"139","2015-08-17 04:00:00.0","18594",11.03
"140","2015-08-18 04:00:00.0","18594",13.756
"141","2015-08-19 04:00:00.0","18594",11.507
"142","2015-08-20 04:00:00.0","18594",19.642
"143","2015-08-21 04:00:00.0","18594",10.152
"144","2015-08-22 04:00:00.0","18594",15.686
"145","2015-08-23 04:00:00.0","18594",9.291
"146","2015-08-24 04:00:00.0","18594",11.779
"147","2015-08-25 04:00:00.0","18594",10.118
"148","2015-08-26 04:00:00.0","18594",9.536
"149","2015-08-27 04:00:00.0","18594",10.094
"150","2015-08-28 04:00:00.0","18594",8.142
"151","2015-08-29 04:00:00.0","18594",8.738
"152","2015-08-30 04:00:00.0","18594",12.947
"153","2015-08-31 04:00:00.0","18594",12.369
"154","2015-09-01 04:00:00.0","18594",13.909
"155","2015-09-02 04:00:00.0","18594",9.494
"156","2015-09-03 04:00:00.0","18594",9.803
"157","2015-09-04 04:00:00.0","18594",8.784
"158","2015-09-05 04:00:00.0","18594",15.276
"159","2015-09-06 04:00:00.0","18594",10.629
"160","2015-09-07 04:00:00.0","18594",15.333
"161","2015-09-08 04:00:00.0","18594",10.589
"162","2015-09-09 04:00:00.0","18594",11.132
"163","2015-09-10 04:00:00.0","18594",10.754
"164","2015-09-11 04:00:00.0","18594",8.298
"165","2015-09-12 04:00:00.0","18594",23.315
"166","2015-09-13 04:00:00.0","18594",11.739
"167","2015-09-14 04:00:00.0","18594",9.797
"168","2015-09-15 04:00:00.0","18594",9.09
"169","2015-09-16 04:00:00.0","18594",10.527
"170","2015-09-17 04:00:00.0","18594",9.237
"171","2015-09-18 04:00:00.0","18594",13.08
"172","2015-09-19 04:00:00.0","18594",22.017
"173","2015-09-20 04:00:00.0","18594",14.508
"174","2015-09-21 04:00:00.0","18594",6.477
"175","2015-09-22 04:00:00.0","18594",6.309
"176","2015-09-23 04:00:00.0","18594",7.038
"177","2015-09-24 04:00:00.0","18594",6.592
"178","2015-09-25 04:00:00.0","18594",7.897
"179","2015-09-26 04:00:00.0","18594",8.577
"180","2015-09-27 04:00:00.0","18594",14.033
"181","2015-09-28 04:00:00.0","18594",7.325
"182","2015-09-29 04:00:00.0","18594",6.71
"183","2015-09-30 04:00:00.0","18594",7.1
"184","2015-10-01 04:00:00.0","18594",6.58
"185","2015-10-02 04:00:00.0","18594",11.434
"186","2015-10-03 04:00:00.0","18594",13.361
"187","2015-10-04 04:00:00.0","18594",13.146
"188","2015-10-05 04:00:00.0","18594",8.303
"189","2015-10-06 04:00:00.0","18594",7.308
"190","2015-10-07 04:00:00.0","18594",7.916
"191","2015-10-08 04:00:00.0","18594",6.616
"192","2015-10-09 04:00:00.0","18594",6.886
"193","2015-10-10 04:00:00.0","18594",12.689
"194","2015-10-11 04:00:00.0","18594",23.171
"195","2015-10-12 04:00:00.0","18594",6.439
"196","2015-10-13 04:00:00.0","18594",8.285
"197","2015-10-14 04:00:00.0","18594",7.265
"198","2015-10-15 04:00:00.0","18594",7.792
"199","2015-10-16 04:00:00.0","18594",14.357
"200","2015-10-17 04:00:00.0","18594",14.772
"201","2015-10-18 04:00:00.0","18594",15.281
"202","2015-10-19 04:00:00.0","18594",9.673
"203","2015-10-20 04:00:00.0","18594",6.942
"204","2015-10-21 04:00:00.0","18594",12.038
"205","2015-10-22 04:00:00.0","18594",7.209
"206","2015-10-23 04:00:00.0","18594",8.074
"207","2015-10-24 04:00:00.0","18594",6.109
"208","2015-10-25 04:00:00.0","18594",9.05
"209","2015-10-26 04:00:00.0","18594",6.962
"210","2015-10-27 04:00:00.0","18594",12.274
"211","2015-10-28 04:00:00.0","18594",12.51
"212","2015-10-29 04:00:00.0","18594",10.532
"213","2015-10-30 04:00:00.0","18594",10.951
"214","2015-10-31 04:00:00.0","18594",13.994
"215","2015-11-01 04:00:00.0","18594",14.015
"216","2015-11-02 05:00:00.0","18594",6.27
"217","2015-11-03 05:00:00.0","18594",5.857
"218","2015-11-04 05:00:00.0","18594",7.346
"219","2015-11-05 05:00:00.0","18594",6.357
"220","2015-11-06 05:00:00.0","18594",7.403
"221","2015-11-07 05:00:00.0","18594",11.555
"222","2015-11-08 05:00:00.0","18594",14.044
"223","2015-11-09 05:00:00.0","18594",9.857
"224","2015-11-10 05:00:00.0","18594",9.392
"225","2015-11-11 05:00:00.0","18594",8.493
"226","2015-11-12 05:00:00.0","18594",7.699
"227","2015-11-13 05:00:00.0","18594",7.997
"228","2015-11-14 05:00:00.0","18594",15.71
"229","2015-11-15 05:00:00.0","18594",13.228
"230","2015-11-16 05:00:00.0","18594",7.864
"231","2015-11-17 05:00:00.0","18594",8.777
"232","2015-11-18 05:00:00.0","18594",7.808
"233","2015-11-19 05:00:00.0","18594",7.105
"234","2015-11-20 05:00:00.0","18594",11.603
"235","2015-11-21 05:00:00.0","18594",20.726
"236","2015-11-22 05:00:00.0","18594",5.343
"237","2015-11-23 05:00:00.0","18594",7.357
"238","2015-11-24 05:00:00.0","18594",5.879
"239","2015-11-25 05:00:00.0","18594",5.727
"240","2015-11-26 05:00:00.0","18594",14.608
"241","2015-11-27 05:00:00.0","18594",5.578
"242","2015-11-28 05:00:00.0","18594",8.464
"243","2015-11-29 05:00:00.0","18594",7.868
"244","2015-11-30 05:00:00.0","18594",8.657
"245","2015-12-01 05:00:00.0","18594",11.821
"246","2015-12-02 05:00:00.0","18594",6.366
"247","2015-12-03 05:00:00.0","18594",8.282
"248","2015-12-04 05:00:00.0","18594",6.04
"249","2015-12-05 05:00:00.0","18594",22.802
"250","2015-12-06 05:00:00.0","18594",12.131
"251","2015-12-07 05:00:00.0","18594",6.381
"252","2015-12-08 05:00:00.0","18594",9.096
"253","2015-12-09 05:00:00.0","18594",8.411
"254","2015-12-10 05:00:00.0","18594",6.626
"255","2015-12-11 05:00:00.0","18594",8.197
"256","2015-12-12 05:00:00.0","18594",15.893
"257","2015-12-13 05:00:00.0","18594",18.537
"258","2015-12-14 05:00:00.0","18594",8.996
"259","2015-12-15 05:00:00.0","18594",9.771
"260","2015-12-16 05:00:00.0","18594",11.051
"261","2015-12-17 05:00:00.0","18594",20.342
"262","2015-12-18 05:00:00.0","18594",11.834
"263","2015-12-19 05:00:00.0","18594",13.628
"264","2015-12-20 05:00:00.0","18594",17.743
"265","2015-12-21 05:00:00.0","18594",16.708
"266","2015-12-22 05:00:00.0","18594",15.714
"267","2015-12-23 05:00:00.0","18594",20.385
"268","2015-12-24 05:00:00.0","18594",24.195
"269","2015-12-25 05:00:00.0","18594",24.241
"270","2015-12-26 05:00:00.0","18594",16.056
"271","2015-12-27 05:00:00.0","18594",28.671
"272","2015-12-28 05:00:00.0","18594",14.909
"273","2015-12-29 05:00:00.0","18594",21.345
"274","2015-12-30 05:00:00.0","18594",10.914
"275","2015-12-31 05:00:00.0","18594",12.132
"276","2016-01-01 05:00:00.0","18594",17.558
"277","2016-01-02 05:00:00.0","18594",10.965
"278","2016-01-03 05:00:00.0","18594",12.721
"279","2016-01-04 05:00:00.0","18594",10.679
"280","2016-01-05 05:00:00.0","18594",13.939
"281","2016-01-06 05:00:00.0","18594",14.158
"282","2016-01-07 05:00:00.0","18594",14.114
"283","2016-01-08 05:00:00.0","18594",10.625
"284","2016-01-09 05:00:00.0","18594",14.705
"285","2016-01-10 05:00:00.0","18594",17.51
"286","2016-01-11 05:00:00.0","18594",9.635
"287","2016-01-12 05:00:00.0","18594",8.427
